,forecast,lower_ci,upper_ci
2020-10-01,0.5391497558167091,0.30004957820437056,0.7782499334290476
2020-11-01,0.8841923143627399,0.6450875474539062,1.1232970812715737
2020-12-01,0.949205375819442,0.7100985201202115,1.1883122315186725
2021-01-01,0.9588163430786768,0.7197085367837119,1.1979241493736417
2021-02-01,0.9607527723655548,0.7185319954966478,1.2029735492344618
2021-03-01,0.9600064213865186,0.7153522909571369,1.2046605518159001
2021-04-01,0.9602224086191269,0.7144687154159753,1.2059761018222783
2021-05-01,0.9241059072255935,0.6778533736103425,1.1703584408408445
2021-06-01,0.7930962869285836,0.5466170402920445,1.0395755335651227
2021-07-01,0.5559188877951324,0.30933652169210873,0.8025012538981562
2021-08-01,0.32711373141301614,0.08048444473442903,0.5737430180916032
2021-09-01,0.33197098434783034,0.08532034471214145,0.5786216239835192
2021-10-01,0.5376007536023993,0.290940395774531,0.7842611114302677
2021-11-01,0.8816519889001996,0.6349872079612725,1.1283167698391265
2021-12-01,0.9464782648208442,0.6998114707279629,1.1931450589137254
2022-01-01,0.9560616193260981,0.709393909058782,1.2027293295934143
2022-02-01,0.9579924851619667,0.7083232566871877,1.2076617136367458
2022-03-01,0.9572482784838537,0.7052310874097725,1.209265469557935
2022-04-01,0.9574636451751414,0.7043849918968043,1.2105422984534786
2022-05-01,0.921450908162521,0.6678906015653923,1.1750112147596496
2022-06-01,0.7908176845711509,0.5370384560560758,1.044596913086226
2022-07-01,0.5543217070881379,0.3004428987167555,0.8082005154595202
2022-08-01,0.3261739185153504,0.0722497992770682,0.5800980377536326
2022-09-01,0.3310172163375631,0.07707247652301485,0.5849619561521113
2022-10-01,0.5360562017431794,0.2821020770221243,0.7900103264642344
2022-11-01,0.8791189619103453,0.6251605657613537,1.133077358059337
2022-12-01,0.9437589889384268,0.6897986486716221,1.1977193292052315
2023-01-01,0.9533148100224207,0.6993535849987937,1.2072760350460476
2023-02-01,0.9552401283913322,0.698379231898112,1.2121010248845523
2023-03-01,0.9544980598534667,0.6953673934660608,1.2136287262408727
2023-04-01,0.9547128077862775,0.6945556127574732,1.2148700028150818
2023-05-01,0.918803537034699,0.6581804561505515,1.1794266179188464
2023-06-01,0.7885456287438041,0.5277107753501767,1.0493804821374315
2023-07-01,0.5527291151552736,0.29179793036301344,0.8136602999475337
2023-08-01,0.3252368057436586,0.06426178746395861,0.5862118240233586
2023-09-01,0.33006618854695446,0.06907122188123171,0.5910611552126772
2023-10-01,0.5345160874529729,0.2735120417787416,0.7955201331272042
2023-11-01,0.8765932124243272,0.6155850345414497,1.1376013903072046
2023-12-01,0.9410475256615384,0.6800374670244191,1.2020575842986576
