Date, AO  missing value -999 https://psl.noaa.gov/data/timeseries/month/
11/1/2003,0.642
12/1/2003,0.265
1/1/2004,-1.686
2/1/2004,-1.528
3/1/2004,0.318
4/1/2004,-0.409
5/1/2004,-0.094
6/1/2004,-0.236
7/1/2004,-0.201
8/1/2004,-0.72
9/1/2004,0.855
10/1/2004,-0.515
11/1/2004,0.678
12/1/2004,0.265
1/1/2005,0.356
2/1/2005,-1.271
3/1/2005,-1.348
4/1/2005,-0.046
5/1/2005,-0.763
6/1/2005,-0.383
7/1/2005,-0.03
8/1/2005,0.026
9/1/2005,0.802
10/1/2005,0.03
11/1/2005,0.228
12/1/2005,-2.104
1/1/2006,-0.17
2/1/2006,-0.156
3/1/2006,-1.604
4/1/2006,0.138
5/1/2006,0.156
6/1/2006,1.071
7/1/2006,0.103
8/1/2006,-0.265
9/1/2006,0.606
10/1/2006,-1.029
11/1/2006,0.521
12/1/2006,2.282
1/1/2007,2.034
2/1/2007,-1.307
3/1/2007,1.182
4/1/2007,0.544
5/1/2007,0.894
6/1/2007,-0.555
7/1/2007,-0.397
8/1/2007,-0.034
9/1/2007,0.179
10/1/2007,0.383
11/1/2007,-0.519
12/1/2007,0.821
1/1/2008,0.819
2/1/2008,0.938
3/1/2008,0.586
4/1/2008,-0.455
5/1/2008,-1.205
6/1/2008,-0.09
7/1/2008,-0.48
8/1/2008,-0.08
9/1/2008,-0.327
10/1/2008,1.676
11/1/2008,0.092
12/1/2008,0.648
1/1/2009,0.8
2/1/2009,-0.672
3/1/2009,0.121
4/1/2009,0.973
5/1/2009,1.194
6/1/2009,-1.351
7/1/2009,-1.356
8/1/2009,-0.054
9/1/2009,0.875
10/1/2009,-1.54
11/1/2009,0.459
12/1/2009,-3.413
1/1/2010,-2.587
2/1/2010,-4.266
3/1/2010,-0.432
4/1/2010,-0.275
5/1/2010,-0.919
6/1/2010,-0.013
7/1/2010,0.435
8/1/2010,-0.117
9/1/2010,-0.865
10/1/2010,-0.467
11/1/2010,-0.376
12/1/2010,-2.631
1/1/2011,-1.683
2/1/2011,1.575
3/1/2011,1.424
4/1/2011,2.275
5/1/2011,-0.035
6/1/2011,-0.858
7/1/2011,-0.472
8/1/2011,-1.063
9/1/2011,0.665
10/1/2011,0.8
11/1/2011,1.459
12/1/2011,2.221
1/1/2012,-0.22
2/1/2012,-0.036
3/1/2012,1.037
4/1/2012,-0.035
5/1/2012,0.168
6/1/2012,-0.672
7/1/2012,0.168
8/1/2012,0.014
9/1/2012,0.772
10/1/2012,-1.514
11/1/2012,-0.111
12/1/2012,-1.749
1/1/2013,-0.61
2/1/2013,-1.007
3/1/2013,-3.185
4/1/2013,0.322
5/1/2013,0.494
6/1/2013,0.549
7/1/2013,-0.011
8/1/2013,0.154
9/1/2013,-0.461
10/1/2013,0.263
11/1/2013,2.029
12/1/2013,1.475
1/1/2014,-0.969
2/1/2014,0.044
3/1/2014,1.206
4/1/2014,0.972
5/1/2014,0.464
6/1/2014,-0.507
7/1/2014,-0.489
8/1/2014,-0.372
9/1/2014,0.102
10/1/2014,-1.134
11/1/2014,-0.53
12/1/2014,0.413
1/1/2015,1.092
2/1/2015,1.043
3/1/2015,1.837
4/1/2015,1.216
5/1/2015,0.763
6/1/2015,0.427
7/1/2015,-1.108
8/1/2015,-0.689
9/1/2015,-0.165
10/1/2015,-0.25
11/1/2015,1.945
12/1/2015,1.444
1/1/2016,-1.449
2/1/2016,-0.024
3/1/2016,0.28
4/1/2016,-1.051
5/1/2016,-0.036
6/1/2016,0.312
7/1/2016,0.848
8/1/2016,0.472
9/1/2016,0.781
10/1/2016,-0.192
11/1/2016,-0.611
12/1/2016,0.179
1/1/2017,0.942
2/1/2017,0.34
3/1/2017,1.365
4/1/2017,-0.089
5/1/2017,-0.73
6/1/2017,0.402
7/1/2017,0.634
8/1/2017,0.15
9/1/2017,-0.492
10/1/2017,0.69
11/1/2017,-0.078
12/1/2017,-0.059
1/1/2018,-0.281
2/1/2018,0.113
3/1/2018,-0.941
4/1/2018,0.544
5/1/2018,0.118
6/1/2018,0.38
7/1/2018,0.612
8/1/2018,0.836
9/1/2018,0.585
10/1/2018,0.413
11/1/2018,-0.112
12/1/2018,0.11
1/1/2019,-0.713
2/1/2019,1.149
3/1/2019,2.116
4/1/2019,-0.255
5/1/2019,-1.231
6/1/2019,-0.601
7/1/2019,-0.89
8/1/2019,-0.722
9/1/2019,0.306
10/1/2019,-0.082
11/1/2019,-1.193
12/1/2019,0.412
1/1/2020,2.419
2/1/2020,3.417
3/1/2020,2.641
4/1/2020,0.928
5/1/2020,-0.027
6/1/2020,-0.122
7/1/2020,-0.412
8/1/2020,-0.381
9/1/2020,0.631
10/1/2020,-0.071
11/1/2020,2.086
12/1/2020,-1.736
1/1/2021,-2.484
2/1/2021,-1.191
3/1/2021,2.109
4/1/2021,-0.204
5/1/2021,-0.161
6/1/2021,0.845
7/1/2021,0.63
8/1/2021,-0.209
9/1/2021,-0.252
10/1/2021,-0.146
11/1/2021,0.093
12/1/2021,0.198
1/1/2022,0.848
2/1/2022,1.544
3/1/2022,0.305
4/1/2022,-0.603
5/1/2022,1.224
6/1/2022,-0.074
7/1/2022,0.025
8/1/2022,-0.17
9/1/2022,-0.655
10/1/2022,1.346
11/1/2022,0.339
12/1/2022,-2.719
1/1/2023,-0.674
2/1/2023,1.6
3/1/2023,0.28
4/1/2023,-0.973
5/1/2023,1.134
6/1/2023,-0.286
7/1/2023,-0.154
8/1/2023,-0.602
9/1/2023,0.318
10/1/2023,-0.414
11/1/2023,-0.036
12/1/2023,-0.221
1/1/2024,-0.21
2/1/2024,0.635
3/1/2024,-0.61
4/1/2024,0.465
5/1/2024,-0.048
6/1/2024,0.136
7/1/2024,0.587
8/1/2024,1.284
9/1/2024,-0.624
10/1/2024,0.525
11/1/2024,-0.037
12/1/2024,-0.335
